,Participant,Condition,Congruity,Reaction_time,Response,Correctness,Cue,Finger
0,15,II,No,0.739262104034,lcmd,1.0,Index,Middle
1,15,II,No,0.483640098572,lalt,1.0,Middle,Index
2,15,II,Yes,0.592977905273,lcmd,1.0,Index,Index
3,15,II,Yes,0.440736913681,lalt,1.0,Middle,Middle
4,15,II,No,0.570558929443,lcmd,1.0,Index,Middle
5,15,II,Yes,0.568163919449,lcmd,1.0,Index,Index
6,15,II,No,0.600787973404,lalt,1.0,Middle,Index
7,15,II,Yes,0.440641975403,lalt,1.0,Middle,Middle
8,15,II,Yes,0.435291051865,lcmd,1.0,Index,Index
9,15,II,Yes,0.559352016449,lalt,1.0,Middle,Middle
10,15,II,No,0.755294036865,lcmd,1.0,Index,Middle
11,15,II,No,0.642570018768,lalt,1.0,Middle,Index
12,15,II,Yes,0.522616052628,lalt,1.0,Middle,Middle
13,15,II,No,0.766236925125,lcmd,1.0,Index,Middle
14,15,II,Yes,0.631129837036,lcmd,1.0,Index,Index
15,15,II,No,0.546793174744,lalt,1.0,Middle,Index
16,15,II,Yes,0.509029006958,lalt,1.0,Middle,Middle
17,15,II,Yes,0.902156162262,lcmd,1.0,Index,Index
18,15,II,No,0.543806123733,lcmd,1.0,Index,Middle
19,15,II,No,0.457277870178,lalt,1.0,Middle,Index
20,15,II,No,0.602637863159,lalt,1.0,Middle,Index
21,15,II,Yes,0.664867830277,lcmd,1.0,Index,Index
22,15,II,No,0.576666069031,lcmd,1.0,Index,Middle
23,15,II,Yes,0.513254165649,lalt,1.0,Middle,Middle
24,15,II,No,0.557142829895,lalt,1.0,Middle,Index
25,15,II,Yes,0.617522859573,lcmd,1.0,Index,Index
26,15,II,Yes,0.571010017395,lalt,1.0,Middle,Middle
27,15,II,No,0.632967853546,lcmd,1.0,Index,Middle
28,15,II,Yes,0.766544008255,lalt,1.0,Middle,Middle
29,15,II,No,0.850469923019,lalt,1.0,Middle,Index
30,15,II,Yes,0.609946060181,lcmd,1.0,Index,Index
31,15,II,No,0.640385007858,lcmd,1.0,Index,Middle
32,15,II,Yes,0.450028038025,lcmd,1.0,Index,Index
33,15,II,No,0.71053404808,lcmd,1.0,Index,Middle
34,15,II,No,0.457198858261,lalt,1.0,Middle,Index
35,15,II,Yes,0.377832984924,lalt,1.0,Middle,Middle
36,15,II,No,0.61602101326,lalt,1.0,Middle,Index
37,15,II,Yes,0.482326030731,lalt,1.0,Middle,Middle
38,15,II,Yes,0.510206842422,lcmd,1.0,Index,Index
39,15,II,No,0.54643406868,lcmd,1.0,Index,Middle
40,15,II,Yes,0.67286400795,lalt,1.0,Middle,Middle
41,15,II,No,0.668767929077,lcmd,1.0,Index,Middle
42,15,II,Yes,0.419664049149,lcmd,1.0,Index,Index
43,15,II,No,0.565064048767,lalt,1.0,Middle,Index
44,15,II,No,0.558950853348,lcmd,1.0,Index,Middle
45,15,II,Yes,0.55506811142,lalt,1.0,Middle,Middle
46,15,II,No,0.63877286911,lalt,1.0,Middle,Index
47,15,II,Yes,0.597800016403,lcmd,1.0,Index,Index
48,15,II,Yes,0.548365020752,lalt,1.0,Middle,Middle
49,15,II,No,0.597230148315,lalt,1.0,Middle,Index
50,15,II,No,0.670446920395,lcmd,1.0,Index,Middle
51,15,II,Yes,0.687030982971,lcmd,1.0,Index,Index
52,15,II,Yes,0.498118877411,lcmd,1.0,Index,Index
53,15,II,Yes,0.381854915619,lalt,1.0,Middle,Middle
54,15,II,No,0.546902990341,lalt,1.0,Middle,Index
55,15,II,No,0.447409057617,lcmd,1.0,Index,Middle
56,15,II,No,0.47882194519,lalt,1.0,Middle,Index
57,15,II,No,0.532040977478,lcmd,1.0,Index,Middle
58,15,II,Yes,0.484643030167,lcmd,1.0,Index,Index
59,15,II,Yes,0.487507867813,lalt,1.0,Middle,Middle
60,15,II,Yes,0.604841947556,lalt,1.0,Middle,Middle
61,15,II,No,0.55466799736,lalt,1.0,Middle,Index
62,15,II,Yes,0.441868019104,lcmd,1.0,Index,Index
63,15,II,No,0.621445846558,lcmd,1.0,Index,Middle
64,15,II,Yes,0.532490921021,lcmd,1.0,Index,Index
65,15,II,No,0.59880695343,lalt,1.0,Middle,Index
66,15,II,Yes,0.605109834671,lalt,1.0,Middle,Middle
67,15,II,No,0.517588949204,lcmd,1.0,Index,Middle
68,15,II,No,0.550937128067,lcmd,1.0,Index,Middle
69,15,II,Yes,0.651941967011,lcmd,1.0,Index,Index
70,15,II,No,0.864114952087,lalt,1.0,Middle,Index
71,15,II,Yes,0.497386980057,lalt,1.0,Middle,Middle
72,15,II,Yes,0.504909038544,lcmd,1.0,Index,Index
73,15,II,No,0.532461833954,lalt,1.0,Middle,Index
74,15,II,No,0.720755052567,lcmd,1.0,Index,Middle
75,15,II,Yes,0.643405199051,lalt,1.0,Middle,Middle
76,15,II,No,0.711437082291,lalt,1.0,Middle,Index
77,15,II,No,0.538376951218,lcmd,1.0,Index,Middle
78,15,II,Yes,0.584555006027,lalt,1.0,Middle,Middle
79,15,II,Yes,0.501557922363,lcmd,1.0,Index,Index
