"Participant","V1","Condition","Congruity","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
1,0,"II","Yes",0.434142827988,"lcmd","Index","Index",23,22,23,11,29,"male",22,"Index Index",-0.834381702275645
1,1,"II","No",0.57104716301,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.560283475521677
1,2,"II","Yes",0.479117107391,"lalt","Middle","Middle",23,22,23,11,29,"male",22,"Middle Middle",-0.735810228381356
1,3,"II","No",0.62364192009,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.472178921334962
1,4,"II","No",0.480222082138,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.733506610958648
1,5,"II","Yes",0.44284491539,"lcmd","Index","Index",23,22,23,11,29,"male",22,"Index Index",-0.814535648355065
1,6,"II","No",0.563038825989,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.574406690539979
1,7,"II","Yes",0.52208609581,"lalt","Middle","Middle",23,22,23,11,29,"male",22,"Middle Middle",-0.649922770197782
1,8,"II","No",0.452649068832,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.79263813621071
1,9,"II","No",0.405857849121,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.901752306006318
1,10,"II","Yes",0.47257194519,"lcmd","Index","Index",23,22,23,11,29,"male",22,"Index Index",-0.74956527868709
1,11,"II","Yes",0.511317110062,"lalt","Middle","Middle",23,22,23,11,29,"male",22,"Middle Middle",-0.670765313614896
1,12,"II","Yes",0.42904715538,"lalt","Middle","Middle",23,22,23,11,29,"male",22,"Middle Middle",-0.846188446794104
1,13,"II","Yes",0.37060585022,"lcmd","Index","Index",23,22,23,11,29,"male",22,"Index Index",-0.992616179448672
1,14,"II","No",0.529275941849,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.6362453539209
