"Participant","V1","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age"
1,0,"II","Yes",0.434142827988,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,1,"II","No",0.57104716301,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,2,"II","Yes",0.479117107391,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,3,"II","No",0.62364192009,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,4,"II","No",0.480222082138,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,5,"II","Yes",0.44284491539,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,6,"II","No",0.563038825989,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,7,"II","Yes",0.52208609581,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,8,"II","No",0.452649068832,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,9,"II","No",0.405857849121,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,10,"II","Yes",0.47257194519,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,11,"II","Yes",0.511317110062,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,12,"II","Yes",0.42904715538,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,13,"II","Yes",0.37060585022,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,14,"II","No",0.529275941849,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,15,"II","No",0.41012096405,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,16,"II","Yes",0.576798057556,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,17,"II","Yes",0.397048902512,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,18,"II","No",0.636274051666,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,19,"II","No",0.542321109772,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,20,"II","Yes",0.410810136795,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,21,"II","No",0.482386922836,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,22,"II","No",0.398458909988,"lalt",0,"Index","Middle",23,22,23,11,29,1,22
1,23,"II","Yes",0.487611055374,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,24,"II","Yes",0.456127119064,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,25,"II","Yes",0.432898187637,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,26,"II","No",0.44287815094,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,27,"II","No",0.341817808151,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,28,"II","No",0.515699005127,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,29,"II","Yes",0.446641206741,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,30,"II","No",0.525864076614,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,31,"II","Yes",0.459865808487,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,32,"II","No",0.397141170502,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,33,"II","No",0.432161903381,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,34,"II","Yes",0.497646045685,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,35,"II","Yes",0.359252023697,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,36,"II","No",0.475661087036,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,37,"II","Yes",0.465677976608,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,38,"II","Yes",0.394025087357,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,39,"II","No",0.532580041885,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,40,"II","No",0.60664396286,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,41,"II","Yes",0.46315279007,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,42,"II","No",0.680551052094,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,43,"II","Yes",0.55463886261,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,44,"II","Yes",0.51080198288,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,45,"II","Yes",0.429427957535,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,46,"II","No",0.79375796318,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,47,"II","No",0.471570920944,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,48,"II","Yes",0.511807060242,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,49,"II","No",0.482754039764,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,50,"II","Yes",0.395635986328,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,51,"II","No",0.46130604744,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,52,"II","No",0.409880971909,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,53,"II","No",0.360646009445,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,54,"II","Yes",0.53399310112,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,55,"II","Yes",0.381255054474,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,56,"II","Yes",0.714885139465,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,57,"II","Yes",0.367306947708,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,58,"II","No",0.541534996033,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,59,"II","No",0.451419878006,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,60,"II","Yes",0.357339096069,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,61,"II","No",0.507545137405,"lcmd",0,"Middle","Index",23,22,23,11,29,1,22
1,62,"II","No",0.904699802399,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,63,"II","Yes",0.397446107864,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,64,"II","No",0.388573884964,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,65,"II","No",0.524287986755,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,66,"II","Yes",0.593553924561,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,67,"II","Yes",0.42797703743,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
