"Participant","V1","Condition","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
1,1,"II",0.57104716301,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.560283475521677
1,3,"II",0.62364192009,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.472178921334962
1,4,"II",0.480222082138,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.733506610958648
1,6,"II",0.563038825989,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.574406690539979
1,8,"II",0.452649068832,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.79263813621071
1,9,"II",0.405857849121,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.901752306006318
1,14,"II",0.529275941849,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.6362453539209
1,15,"II",0.41012096405,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.891303128529542
1,18,"II",0.636274051666,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.45212590960635
1,19,"II",0.542321109772,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.611896999519877
1,21,"II",0.482386922836,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.729008742485527
1,26,"II",0.44287815094,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.814460601082889
1,27,"II",0.341817808151,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-1.07347740857243
1,28,"II",0.515699005127,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.662232007097145
1,30,"II",0.525864076614,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.642712509116997
1,32,"II",0.397141170502,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.923463468299196
1,33,"II",0.432161903381,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.838954984604232
1,36,"II",0.475661087036,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.743049680369749
1,39,"II",0.532580041885,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.630022079295423
1,40,"II",0.60664396286,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.499813212136839
1,42,"II",0.680551052094,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.384852438258589
1,46,"II",0.79375796318,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.230976696472803
1,47,"II",0.471570920944,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.751685772644092
1,49,"II",0.482754039764,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.728247989476523
1,51,"II",0.46130604744,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.773693578944353
1,52,"II",0.409880971909,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.891888473849664
1,53,"II",0.360646009445,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-1.01985838499039
1,58,"II",0.541534996033,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.613347586682942
1,59,"II",0.451419878006,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.795357379223568
1,62,"II",0.904699802399,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.100152100366514
1,64,"II",0.388573884964,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.945271947168859
1,65,"II",0.524287986755,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.645714152588146
1,69,"II",0.489971065521,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.713408939578125
1,70,"II",0.399043035507,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.91868600949504
